bill,yea,nay,no vote
"H.R. 2872: Making further continuing appropriations for the fiscal year ending September 30, 2024, and for other purposes. ","Booker, Cory; Hickenlooper, John; Cardin, Benjamin; Murkowski, Lisa; Kaine, Tim; Hyde-Smith, Cindy; Shaheen, Jeanne; Romney, Mitt; Duckworth, Tammy; Boozman, John; Hirono, Mazie; Ossoff, Jon; Merkley, Jeff; Rosen, Jacky; Manchin, Joe; Wicker, Roger; Fischer, Deb; Heinrich, Martin; Whitehouse, Sheldon; Butler, Laphonza; Van Hollen, Chris; Coons, Christopher; Hassan, Maggie; Markey, Ed; Stabenow, Debbie; Schumer, Chuck; Collins, Susan; Cantwell, Maria; Peters, Gary; Welch, Peter; Carper, Thomas; Brown, Sherrod; Luján, Ben; Young, Todd; Lankford, James; Sanders, Bernie; Rubio, Marco; Rounds, Mike; Casey, Bob; Moran, Jerry; Cotton, Tom; Cortez Masto, Catherine; Bennet, Michael; Wyden, Ron; Durbin, Richard; Daines, Steve; Sullivan, Dan; Baldwin, Tammy; Padilla, Alex; Hagerty, Bill; Warren, Elizabeth; Menendez, Bob; Tester, Jon; McConnell, Mitch; Smith, Tina; Mullin, Markwayne; Ernst, Joni; Murphy, Christopher; Warner, Mark; Kelly, Mark; Gillibrand, Kirsten; Fetterman, John; King, Angus; Murray, Patty; Schatz, Brian; Reed, Jack; Klobuchar, Amy; Capito, Shelley; Cornyn, John; Lummis, Cynthia; Blumenthal, Richard; Cassidy, Bill; Warnock, Raphael; Tillis, Thom; Sinema, Kyrsten; Ricketts, Pete; Thune, John","Cruz, Ted; Cramer, Kevin; Schmitt, Eric; Vance, J.D. (James); Hawley, Josh; Hoeven, John; Johnson, Ron; Risch, James; Braun, Mike; Crapo, Mike; Marshall, Roger; Budd, Ted; Britt, Katie; Blackburn, Marsha; Paul, Rand; Lee, Mike; Tuberville, Tommy; Scott, Tim","Scott, Rick; Kennedy, John Neely; Grassley, Chuck; Graham, Lindsey; Barrasso, John"
On the Motion (Marshall Motion to Commit H.R. 2872 to the Committee on Appropriations with instructions) ,"Cruz, Ted; Daines, Steve; Lummis, Cynthia; Vance, J.D. (James); Johnson, Ron; Risch, James; Marshall, Roger; Crapo, Mike; Budd, Ted; Hawley, Josh; Paul, Rand; Lee, Mike; Tuberville, Tommy","Braun, Mike; Booker, Cory; Hickenlooper, John; Scott, Tim; Cardin, Benjamin; Murkowski, Lisa; Kaine, Tim; Hyde-Smith, Cindy; Shaheen, Jeanne; Romney, Mitt; Duckworth, Tammy; Boozman, John; Hirono, Mazie; Ossoff, Jon; Merkley, Jeff; Rosen, Jacky; Wicker, Roger; Manchin, Joe; Fischer, Deb; Heinrich, Martin; Whitehouse, Sheldon; Butler, Laphonza; Van Hollen, Chris; Coons, Christopher; Hassan, Maggie; Markey, Ed; Stabenow, Debbie; Schumer, Chuck; Collins, Susan; Cantwell, Maria; Peters, Gary; Welch, Peter; Carper, Thomas; Brown, Sherrod; Luján, Ben; Young, Todd; Lankford, James; Sanders, Bernie; Schmitt, Eric; Rubio, Marco; Rounds, Mike; Casey, Bob; Moran, Jerry; Cotton, Tom; Cortez Masto, Catherine; Blackburn, Marsha; Bennet, Michael; Wyden, Ron; Durbin, Richard; Sullivan, Dan; Baldwin, Tammy; Padilla, Alex; Hagerty, Bill; Warren, Elizabeth; Menendez, Bob; Tester, Jon; McConnell, Mitch; Smith, Tina; Cramer, Kevin; Mullin, Markwayne; Hoeven, John; Ernst, Joni; Murphy, Christopher; Warner, Mark; Kelly, Mark; Gillibrand, Kirsten; Fetterman, John; King, Angus; Murray, Patty; Schatz, Brian; Reed, Jack; Klobuchar, Amy; Capito, Shelley; Cornyn, John; Blumenthal, Richard; Cassidy, Bill; Britt, Katie; Warnock, Raphael; Tillis, Thom; Sinema, Kyrsten; Ricketts, Pete; Thune, John","Scott, Rick; Kennedy, John Neely; Grassley, Chuck; Graham, Lindsey; Barrasso, John"
S.Amdt. 1384 (Paul) to H.R. 2872: To limit foreign assistance to the Palestinian Authority or any other Palestinian governing entity in the West Bank and Gaza. ,"Schmitt, Eric; Rubio, Marco; Vance, J.D. (James); Rounds, Mike; Moran, Jerry; Cotton, Tom; Braun, Mike; Crapo, Mike; Blackburn, Marsha; Paul, Rand; Johnson, Ron; Tuberville, Tommy; Scott, Tim; Collins, Susan; Daines, Steve; Sullivan, Dan; Capito, Shelley; Cornyn, John; Lee, Mike; Hagerty, Bill; Murkowski, Lisa; Cruz, Ted; Lummis, Cynthia; Hyde-Smith, Cindy; Cassidy, Bill; Risch, James; Romney, Mitt; Britt, Katie; Budd, Ted; Boozman, John; McConnell, Mitch; Cramer, Kevin; Wicker, Roger; Mullin, Markwayne; Manchin, Joe; Young, Todd; Tillis, Thom; Hoeven, John; Fischer, Deb; Ernst, Joni; Ricketts, Pete; Marshall, Roger; Lankford, James; Thune, John","Van Hollen, Chris; Coons, Christopher; Fetterman, John; King, Angus; Casey, Bob; Murray, Patty; Hassan, Maggie; Cortez Masto, Catherine; Bennet, Michael; Schatz, Brian; Hickenlooper, John; Markey, Ed; Booker, Cory; Stabenow, Debbie; Wyden, Ron; Durbin, Richard; Schumer, Chuck; Reed, Jack; Klobuchar, Amy; Cardin, Benjamin; Cantwell, Maria; Baldwin, Tammy; Padilla, Alex; Peters, Gary; Welch, Peter; Kaine, Tim; Blumenthal, Richard; Shaheen, Jeanne; Warren, Elizabeth; Menendez, Bob; Carper, Thomas; Duckworth, Tammy; Tester, Jon; Hirono, Mazie; Ossoff, Jon; Brown, Sherrod; Smith, Tina; Rosen, Jacky; Warnock, Raphael; Luján, Ben; Merkley, Jeff; Sinema, Kyrsten; Heinrich, Martin; Whitehouse, Sheldon; Murphy, Christopher; Sanders, Bernie; Warner, Mark; Butler, Laphonza; Gillibrand, Kirsten; Kelly, Mark","Scott, Rick; Kennedy, John Neely; Grassley, Chuck; Graham, Lindsey; Barrasso, John; Hawley, Josh"
Motion to Invoke Cloture: Motion to Proceed to H.R. 2872 ,"Van Hollen, Chris; Fetterman, John; King, Angus; Casey, Bob; Moran, Jerry; Graham, Lindsey; Cotton, Tom; Murray, Patty; Hassan, Maggie; Cortez Masto, Catherine; Manchin, Joe; Bennet, Michael; Booker, Cory; Hickenlooper, John; Markey, Ed; Stabenow, Debbie; Wyden, Ron; Durbin, Richard; Collins, Susan; Schumer, Chuck; Reed, Jack; Klobuchar, Amy; Capito, Shelley; Cornyn, John; Cantwell, Maria; Baldwin, Tammy; Padilla, Alex; Peters, Gary; Welch, Peter; Murkowski, Lisa; Thune, John; Kaine, Tim; Lummis, Cynthia; Blumenthal, Richard; Shaheen, Jeanne; Cassidy, Bill; Warren, Elizabeth; Menendez, Bob; Carper, Thomas; Duckworth, Tammy; Tester, Jon; McConnell, Mitch; Hirono, Mazie; Ossoff, Jon; Brown, Sherrod; Smith, Tina; Rosen, Jacky; Warnock, Raphael; Luján, Ben; Cramer, Kevin; Young, Todd; Tillis, Thom; Mullin, Markwayne; Hoeven, John; Merkley, Jeff; Sinema, Kyrsten; Fischer, Deb; Heinrich, Martin; Whitehouse, Sheldon; Ernst, Joni; Murphy, Christopher; Ricketts, Pete; Lankford, James; Sanders, Bernie; Warner, Mark; Butler, Laphonza; Gillibrand, Kirsten; Kelly, Mark","Scott, Rick; Cruz, Ted; Vance, J.D. (James); Johnson, Ron; Risch, James; Braun, Mike; Crapo, Mike; Marshall, Roger; Budd, Ted; Britt, Katie; Paul, Rand; Lee, Mike; Scott, Tim","Schmitt, Eric; Coons, Christopher; Rubio, Marco; Rounds, Mike; Blackburn, Marsha; Hawley, Josh; Schatz, Brian; Barrasso, John; Tuberville, Tommy; Daines, Steve; Sullivan, Dan; Kennedy, John Neely; Cardin, Benjamin; Hagerty, Bill; Hyde-Smith, Cindy; Grassley, Chuck; Romney, Mitt; Boozman, John; Wicker, Roger"
On the Motion to Table S.Res. 504 ,"Fetterman, John; Vance, J.D. (James); King, Angus; Casey, Bob; Moran, Jerry; Graham, Lindsey; Cotton, Tom; Murray, Patty; Hassan, Maggie; Cortez Masto, Catherine; Braun, Mike; Crapo, Mike; Bennet, Michael; Hawley, Josh; Hickenlooper, John; Booker, Cory; Johnson, Ron; Stabenow, Debbie; Wyden, Ron; Durbin, Richard; Collins, Susan; Schumer, Chuck; Reed, Jack; Scott, Tim; Klobuchar, Amy; Capito, Shelley; Cornyn, John; Cardin, Benjamin; Cantwell, Maria; Baldwin, Tammy; Padilla, Alex; Peters, Gary; Lee, Mike; Murkowski, Lisa; Scott, Rick; Cruz, Ted; Kaine, Tim; Lummis, Cynthia; Blumenthal, Richard; Shaheen, Jeanne; Cassidy, Bill; Risch, James; Menendez, Bob; Carper, Thomas; Duckworth, Tammy; Britt, Katie; Budd, Ted; Tester, Jon; McConnell, Mitch; Ossoff, Jon; Brown, Sherrod; Smith, Tina; Rosen, Jacky; Warnock, Raphael; Cramer, Kevin; Mullin, Markwayne; Young, Todd; Tillis, Thom; Thune, John; Hoeven, John; Manchin, Joe; Sinema, Kyrsten; Fischer, Deb; Whitehouse, Sheldon; Ernst, Joni; Murphy, Christopher; Marshall, Roger; Ricketts, Pete; Lankford, James; Warner, Mark; Gillibrand, Kirsten; Kelly, Mark","Luján, Ben; Merkley, Jeff; Van Hollen, Chris; Heinrich, Martin; Paul, Rand; Warren, Elizabeth; Sanders, Bernie; Butler, Laphonza; Markey, Ed; Welch, Peter; Hirono, Mazie","Wicker, Roger; Schmitt, Eric; Coons, Christopher; Sullivan, Dan; Rubio, Marco; Daines, Steve; Rounds, Mike; Hyde-Smith, Cindy; Kennedy, John Neely; Grassley, Chuck; Hagerty, Bill; Romney, Mitt; Blackburn, Marsha; Barrasso, John; Schatz, Brian; Tuberville, Tommy; Boozman, John"
"On the Nomination PN837: Erika L. McEntarfer, of the District of Columbia, to be Commissioner of Labor Statistics, Department of Labor, for a term of four years ","Braun, Mike; Booker, Cory; Hickenlooper, John; Scott, Tim; Cardin, Benjamin; Murkowski, Lisa; Kaine, Tim; Hyde-Smith, Cindy; Shaheen, Jeanne; Romney, Mitt; Duckworth, Tammy; Boozman, John; Hirono, Mazie; Ossoff, Jon; Merkley, Jeff; Rosen, Jacky; Wicker, Roger; Fischer, Deb; Heinrich, Martin; Whitehouse, Sheldon; Marshall, Roger; Butler, Laphonza; Van Hollen, Chris; Coons, Christopher; Graham, Lindsey; Hassan, Maggie; Barrasso, John; Paul, Rand; Markey, Ed; Stabenow, Debbie; Schumer, Chuck; Collins, Susan; Peters, Gary; Welch, Peter; Carper, Thomas; Budd, Ted; Brown, Sherrod; Luján, Ben; Young, Todd; Lankford, James; Rubio, Marco; Rounds, Mike; Casey, Bob; Cotton, Tom; Cortez Masto, Catherine; Blackburn, Marsha; Bennet, Michael; Wyden, Ron; Durbin, Richard; Daines, Steve; Sullivan, Dan; Baldwin, Tammy; Padilla, Alex; Hagerty, Bill; Warren, Elizabeth; Menendez, Bob; Tester, Jon; McConnell, Mitch; Smith, Tina; Hoeven, John; Ernst, Joni; Murphy, Christopher; Warner, Mark; Kelly, Mark; Gillibrand, Kirsten; Fetterman, John; Vance, J.D. (James); King, Angus; Murray, Patty; Schatz, Brian; Johnson, Ron; Tuberville, Tommy; Reed, Jack; Klobuchar, Amy; Capito, Shelley; Cornyn, John; Lummis, Cynthia; Blumenthal, Richard; Grassley, Chuck; Cassidy, Bill; Britt, Katie; Warnock, Raphael; Tillis, Thom; Sinema, Kyrsten; Ricketts, Pete; Thune, John","Scott, Rick; Cruz, Ted; Schmitt, Eric; Kennedy, John Neely; Risch, James; Crapo, Mike; Hawley, Josh; Lee, Mike","Cramer, Kevin; Manchin, Joe; Mullin, Markwayne; Moran, Jerry; Cantwell, Maria; Sanders, Bernie"
"Motion to Invoke Cloture: Erika L. McEntarfer to be Commissioner of Labor Statistics: Erika L. McEntarfer, of the District of Columbia, to be Commissioner of Labor Statistics, Department of Labor, for a term of four years ","Braun, Mike; Booker, Cory; Hickenlooper, John; Scott, Tim; Cardin, Benjamin; Murkowski, Lisa; Kaine, Tim; Hyde-Smith, Cindy; Shaheen, Jeanne; Romney, Mitt; Duckworth, Tammy; Boozman, John; Hirono, Mazie; Ossoff, Jon; Merkley, Jeff; Rosen, Jacky; Wicker, Roger; Manchin, Joe; Fischer, Deb; Heinrich, Martin; Whitehouse, Sheldon; Marshall, Roger; Butler, Laphonza; Van Hollen, Chris; Coons, Christopher; Graham, Lindsey; Hassan, Maggie; Barrasso, John; Paul, Rand; Markey, Ed; Stabenow, Debbie; Schumer, Chuck; Collins, Susan; Peters, Gary; Welch, Peter; Carper, Thomas; Budd, Ted; Brown, Sherrod; Luján, Ben; Young, Todd; Lankford, James; Sanders, Bernie; Rubio, Marco; Rounds, Mike; Casey, Bob; Cotton, Tom; Cortez Masto, Catherine; Blackburn, Marsha; Bennet, Michael; Wyden, Ron; Durbin, Richard; Daines, Steve; Sullivan, Dan; Baldwin, Tammy; Padilla, Alex; Hagerty, Bill; Warren, Elizabeth; Menendez, Bob; Tester, Jon; McConnell, Mitch; Smith, Tina; Hoeven, John; Ernst, Joni; Murphy, Christopher; Warner, Mark; Kelly, Mark; Gillibrand, Kirsten; Fetterman, John; Vance, J.D. (James); King, Angus; Murray, Patty; Schatz, Brian; Johnson, Ron; Tuberville, Tommy; Reed, Jack; Klobuchar, Amy; Capito, Shelley; Cornyn, John; Lummis, Cynthia; Blumenthal, Richard; Grassley, Chuck; Cassidy, Bill; Britt, Katie; Warnock, Raphael; Tillis, Thom; Sinema, Kyrsten; Ricketts, Pete; Thune, John","Scott, Rick; Cruz, Ted; Schmitt, Eric; Kennedy, John Neely; Risch, James; Crapo, Mike; Hawley, Josh; Lee, Mike","Mullin, Markwayne; Cramer, Kevin; Cantwell, Maria; Moran, Jerry"
"S.J.Res. 32: A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Consumer Financial Protection relating to “Small Business Lending Under the Equal Credit Opport ","Schmitt, Eric; Rubio, Marco; King, Angus; Vance, J.D. (James); Rounds, Mike; Moran, Jerry; Graham, Lindsey; Cotton, Tom; Braun, Mike; Crapo, Mike; Blackburn, Marsha; Hawley, Josh; Barrasso, John; Hickenlooper, John; Paul, Rand; Tuberville, Tommy; Johnson, Ron; Scott, Tim; Collins, Susan; Daines, Steve; Sullivan, Dan; Capito, Shelley; Kennedy, John Neely; Cornyn, John; Lee, Mike; Hagerty, Bill; Murkowski, Lisa; Scott, Rick; Cruz, Ted; Lummis, Cynthia; Hyde-Smith, Cindy; Grassley, Chuck; Risch, James; Cassidy, Bill; Romney, Mitt; Britt, Katie; Budd, Ted; Tester, Jon; Boozman, John; McConnell, Mitch; Cramer, Kevin; Wicker, Roger; Mullin, Markwayne; Manchin, Joe; Young, Todd; Tillis, Thom; Hoeven, John; Sinema, Kyrsten; Fischer, Deb; Ernst, Joni; Ricketts, Pete; Marshall, Roger; Lankford, James; Thune, John","Van Hollen, Chris; Coons, Christopher; Fetterman, John; Casey, Bob; Murray, Patty; Hassan, Maggie; Cortez Masto, Catherine; Bennet, Michael; Schatz, Brian; Booker, Cory; Markey, Ed; Stabenow, Debbie; Wyden, Ron; Durbin, Richard; Schumer, Chuck; Reed, Jack; Klobuchar, Amy; Cardin, Benjamin; Baldwin, Tammy; Padilla, Alex; Peters, Gary; Welch, Peter; Kaine, Tim; Blumenthal, Richard; Shaheen, Jeanne; Warren, Elizabeth; Menendez, Bob; Carper, Thomas; Duckworth, Tammy; Hirono, Mazie; Ossoff, Jon; Brown, Sherrod; Smith, Tina; Rosen, Jacky; Warnock, Raphael; Luján, Ben; Merkley, Jeff; Heinrich, Martin; Whitehouse, Sheldon; Murphy, Christopher; Sanders, Bernie; Warner, Mark; Butler, Laphonza; Gillibrand, Kirsten; Kelly, Mark","Cantwell, Maria"
"On the Nomination PN376: S. Kato Crews, of Colorado, to be United States District Judge for the District of Colorado ","Van Hollen, Chris; Coons, Christopher; Fetterman, John; King, Angus; Casey, Bob; Murray, Patty; Hassan, Maggie; Cortez Masto, Catherine; Bennet, Michael; Schatz, Brian; Hickenlooper, John; Markey, Ed; Booker, Cory; Stabenow, Debbie; Wyden, Ron; Durbin, Richard; Collins, Susan; Schumer, Chuck; Reed, Jack; Klobuchar, Amy; Cardin, Benjamin; Baldwin, Tammy; Padilla, Alex; Peters, Gary; Welch, Peter; Murkowski, Lisa; Kaine, Tim; Blumenthal, Richard; Shaheen, Jeanne; Warren, Elizabeth; Menendez, Bob; Carper, Thomas; Duckworth, Tammy; Tester, Jon; Hirono, Mazie; Ossoff, Jon; Brown, Sherrod; Smith, Tina; Rosen, Jacky; Warnock, Raphael; Luján, Ben; Merkley, Jeff; Manchin, Joe; Heinrich, Martin; Whitehouse, Sheldon; Murphy, Christopher; Sanders, Bernie; Warner, Mark; Butler, Laphonza; Gillibrand, Kirsten; Kelly, Mark","Schmitt, Eric; Rubio, Marco; Vance, J.D. (James); Rounds, Mike; Moran, Jerry; Graham, Lindsey; Cotton, Tom; Braun, Mike; Crapo, Mike; Blackburn, Marsha; Hawley, Josh; Barrasso, John; Paul, Rand; Johnson, Ron; Tuberville, Tommy; Scott, Tim; Daines, Steve; Sullivan, Dan; Capito, Shelley; Kennedy, John Neely; Cornyn, John; Lee, Mike; Hagerty, Bill; Scott, Rick; Cruz, Ted; Lummis, Cynthia; Hyde-Smith, Cindy; Grassley, Chuck; Risch, James; Cassidy, Bill; Romney, Mitt; Britt, Katie; Budd, Ted; Boozman, John; McConnell, Mitch; Cramer, Kevin; Wicker, Roger; Mullin, Markwayne; Young, Todd; Tillis, Thom; Hoeven, John; Sinema, Kyrsten; Fischer, Deb; Ernst, Joni; Ricketts, Pete; Marshall, Roger; Lankford, James; Thune, John","Cantwell, Maria"
"Motion to Invoke Cloture: S. Kato Crews to be U.S. District Judge for the District of Colorado: S. Kato Crews, of Colorado, to be United States District Judge for the District of Colorado ","Van Hollen, Chris; Coons, Christopher; Fetterman, John; King, Angus; Casey, Bob; Murray, Patty; Hassan, Maggie; Cortez Masto, Catherine; Bennet, Michael; Schatz, Brian; Hickenlooper, John; Markey, Ed; Booker, Cory; Stabenow, Debbie; Wyden, Ron; Durbin, Richard; Collins, Susan; Schumer, Chuck; Reed, Jack; Klobuchar, Amy; Cardin, Benjamin; Baldwin, Tammy; Padilla, Alex; Peters, Gary; Welch, Peter; Murkowski, Lisa; Kaine, Tim; Blumenthal, Richard; Shaheen, Jeanne; Warren, Elizabeth; Menendez, Bob; Carper, Thomas; Duckworth, Tammy; Tester, Jon; Hirono, Mazie; Ossoff, Jon; Brown, Sherrod; Smith, Tina; Rosen, Jacky; Warnock, Raphael; Luján, Ben; Merkley, Jeff; Manchin, Joe; Heinrich, Martin; Whitehouse, Sheldon; Murphy, Christopher; Sanders, Bernie; Warner, Mark; Butler, Laphonza; Gillibrand, Kirsten; Kelly, Mark","Schmitt, Eric; Rubio, Marco; Vance, J.D. (James); Rounds, Mike; Moran, Jerry; Graham, Lindsey; Cotton, Tom; Braun, Mike; Crapo, Mike; Blackburn, Marsha; Hawley, Josh; Barrasso, John; Paul, Rand; Johnson, Ron; Tuberville, Tommy; Scott, Tim; Daines, Steve; Sullivan, Dan; Capito, Shelley; Kennedy, John Neely; Cornyn, John; Lee, Mike; Hagerty, Bill; Scott, Rick; Cruz, Ted; Lummis, Cynthia; Hyde-Smith, Cindy; Grassley, Chuck; Cassidy, Bill; Romney, Mitt; Britt, Katie; Budd, Ted; Boozman, John; McConnell, Mitch; Cramer, Kevin; Wicker, Roger; Mullin, Markwayne; Young, Todd; Tillis, Thom; Hoeven, John; Sinema, Kyrsten; Fischer, Deb; Ernst, Joni; Ricketts, Pete; Marshall, Roger; Lankford, James; Thune, John","Cantwell, Maria; Risch, James"
"On the Nomination PN1020: John A. Kazen, of Texas, to be United States District Judge for the Southern District of Texas ","Booker, Cory; Hickenlooper, John; Kennedy, John Neely; Cardin, Benjamin; Lee, Mike; Murkowski, Lisa; Cruz, Ted; Kaine, Tim; Hyde-Smith, Cindy; Shaheen, Jeanne; Romney, Mitt; Duckworth, Tammy; Boozman, John; Hirono, Mazie; Ossoff, Jon; Merkley, Jeff; Rosen, Jacky; Wicker, Roger; Manchin, Joe; Fischer, Deb; Heinrich, Martin; Whitehouse, Sheldon; Butler, Laphonza; Van Hollen, Chris; Coons, Christopher; Graham, Lindsey; Hassan, Maggie; Barrasso, John; Markey, Ed; Stabenow, Debbie; Schumer, Chuck; Collins, Susan; Peters, Gary; Welch, Peter; Carper, Thomas; Budd, Ted; Brown, Sherrod; Luján, Ben; Young, Todd; Lankford, James; Sanders, Bernie; Rubio, Marco; Rounds, Mike; Casey, Bob; Moran, Jerry; Cotton, Tom; Cortez Masto, Catherine; Blackburn, Marsha; Bennet, Michael; Wyden, Ron; Durbin, Richard; Daines, Steve; Baldwin, Tammy; Padilla, Alex; Hagerty, Bill; Warren, Elizabeth; Menendez, Bob; Tester, Jon; McConnell, Mitch; Smith, Tina; Cramer, Kevin; Ernst, Joni; Murphy, Christopher; Kelly, Mark; Fetterman, John; King, Angus; Murray, Patty; Crapo, Mike; Schatz, Brian; Johnson, Ron; Reed, Jack; Klobuchar, Amy; Capito, Shelley; Cornyn, John; Lummis, Cynthia; Blumenthal, Richard; Grassley, Chuck; Risch, James; Warnock, Raphael; Tillis, Thom; Sinema, Kyrsten; Ricketts, Pete; Gillibrand, Kirsten","Scott, Rick; Schmitt, Eric; Mullin, Markwayne; Sullivan, Dan; Vance, J.D. (James); Hawley, Josh; Hoeven, John; Braun, Mike; Marshall, Roger; Britt, Katie; Paul, Rand; Thune, John; Tuberville, Tommy; Scott, Tim","Cantwell, Maria; Cassidy, Bill; Warner, Mark"
"Motion to Invoke Cloture: John A. Kazen to be U.S. District Judge for the Southern District of Texas: John A. Kazen, of Texas, to be United States District Judge for the Southern District of Texas ","Van Hollen, Chris; Coons, Christopher; King, Angus; Rounds, Mike; Casey, Bob; Murray, Patty; Hassan, Maggie; Cortez Masto, Catherine; Crapo, Mike; Blackburn, Marsha; Bennet, Michael; Schatz, Brian; Hickenlooper, John; Markey, Ed; Booker, Cory; Johnson, Ron; Stabenow, Debbie; Wyden, Ron; Durbin, Richard; Collins, Susan; Schumer, Chuck; Reed, Jack; Klobuchar, Amy; Daines, Steve; Capito, Shelley; Kennedy, John Neely; Cornyn, John; Cardin, Benjamin; Baldwin, Tammy; Padilla, Alex; Peters, Gary; Hagerty, Bill; Welch, Peter; Murkowski, Lisa; Cruz, Ted; Kaine, Tim; Hyde-Smith, Cindy; Blumenthal, Richard; Shaheen, Jeanne; Grassley, Chuck; Warren, Elizabeth; Menendez, Bob; Carper, Thomas; Duckworth, Tammy; Romney, Mitt; Budd, Ted; Tester, Jon; McConnell, Mitch; Hirono, Mazie; Ossoff, Jon; Brown, Sherrod; Smith, Tina; Rosen, Jacky; Warnock, Raphael; Wicker, Roger; Cramer, Kevin; Young, Todd; Tillis, Thom; Merkley, Jeff; Manchin, Joe; Sinema, Kyrsten; Fischer, Deb; Heinrich, Martin; Whitehouse, Sheldon; Ernst, Joni; Murphy, Christopher; Ricketts, Pete; Lankford, James; Sanders, Bernie; Warner, Mark; Butler, Laphonza; Gillibrand, Kirsten; Kelly, Mark","Scott, Rick; Schmitt, Eric; Mullin, Markwayne; Sullivan, Dan; Vance, J.D. (James); Hawley, Josh; Hoeven, John; Lee, Mike; Lummis, Cynthia; Braun, Mike; Marshall, Roger; Britt, Katie; Paul, Rand; Thune, John; Tuberville, Tommy","Luján, Ben; Fetterman, John; Rubio, Marco; Moran, Jerry; Cassidy, Bill; Risch, James; Cotton, Tom; Graham, Lindsey; Cantwell, Maria; Barrasso, John; Boozman, John; Scott, Tim"
